Package                             Current   Wanted    Latest  Location                                         Depended by
@anthropic-ai/sdk                    0.37.0   0.37.0    0.57.0  node_modules/@anthropic-ai/sdk                   workspace
@azure/core-auth                      1.9.0   1.10.0    1.10.0  node_modules/@azure/core-auth                    workspace
@google-cloud/recaptcha-enterprise    6.2.0    6.3.0     6.3.0  node_modules/@google-cloud/recaptcha-enterprise  workspace
@hookform/resolvers                  3.10.0   3.10.0     5.2.0  node_modules/@hookform/resolvers                 workspace
@neondatabase/serverless             0.10.4   0.10.4     1.0.1  node_modules/@neondatabase/serverless            workspace
@replit/vite-plugin-cartographer     0.0.11   0.0.11     0.2.7  node_modules/@replit/vite-plugin-cartographer    workspace
@tanstack/react-query                5.81.5   5.83.0    5.83.0  node_modules/@tanstack/react-query               workspace
@types/bcrypt                         5.0.2    5.0.2     6.0.0  node_modules/@types/bcrypt                       workspace
@types/multer                        1.4.13   1.4.13     2.0.0  node_modules/@types/multer                       workspace
@types/node                         24.0.10   24.1.0    24.1.0  node_modules/@types/node                         workspace
@types/react                        18.3.23  18.3.23    19.1.8  node_modules/@types/react                        workspace
@types/react-dom                     18.3.7   18.3.7    19.1.6  node_modules/@types/react-dom                    workspace
@vitejs/plugin-react                  4.6.0    4.7.0     4.7.0  node_modules/@vitejs/plugin-react                workspace
axios                                1.10.0   1.11.0    1.11.0  node_modules/axios                               workspace
compression                           1.8.0    1.8.1     1.8.1  node_modules/compression                         workspace
date-fns                              3.6.0    3.6.0     4.1.0  node_modules/date-fns                            workspace
dotenv                               16.6.1   16.6.1    17.2.1  node_modules/dotenv                              workspace
drizzle-orm                          0.44.2   0.44.3    0.44.3  node_modules/drizzle-orm                         workspace
drizzle-zod                           0.7.1    0.7.1     0.8.2  node_modules/drizzle-zod                         workspace
esbuild                              0.25.5   0.25.8    0.25.8  node_modules/esbuild                             workspace
express                              4.21.2   4.21.2     5.1.0  node_modules/express                             workspace
express-session                      1.18.1   1.18.2    1.18.2  node_modules/express-session                     workspace
framer-motion                       11.18.2  11.18.2  12.23.11  node_modules/framer-motion                       workspace
lucide-react                        0.453.0  0.453.0   0.532.0  node_modules/lucide-react                        workspace
mongodb                              6.17.0   6.18.0    6.18.0  node_modules/mongodb                             workspace
mongoose                             8.16.1   8.16.5    8.16.5  node_modules/mongoose                            workspace
multer                                2.0.1    2.0.2     2.0.2  node_modules/multer                              workspace
mysql2                               3.14.1   3.14.2    3.14.2  node_modules/mysql2                              workspace
nodemailer                           6.10.1   6.10.1     7.0.5  node_modules/nodemailer                          workspace
openai                                5.9.0   5.10.2    5.10.2  node_modules/openai                              workspace
puppeteer                           24.14.0  24.15.0   24.15.0  node_modules/puppeteer                           workspace
react                                18.3.1   18.3.1    19.1.1  node_modules/react                               workspace
react-day-picker                     8.10.1   8.10.1     9.8.1  node_modules/react-day-picker                    workspace
react-dom                            18.3.1   18.3.1    19.1.1  node_modules/react-dom                           workspace
react-hook-form                      7.60.0   7.61.1    7.61.1  node_modules/react-hook-form                     workspace
react-resizable-panels                2.1.9    2.1.9     3.0.3  node_modules/react-resizable-panels              workspace
recharts                             2.15.4   2.15.4     3.1.0  node_modules/recharts                            workspace
sharp                                0.34.2   0.34.3    0.34.3  node_modules/sharp                               workspace
tailwind-merge                        2.6.0    2.6.0     3.3.1  node_modules/tailwind-merge                      workspace
tailwindcss                          3.4.17   3.4.17    4.1.11  node_modules/tailwindcss                         workspace
vite                                  7.0.3    7.0.6     7.0.6  node_modules/vite                                workspace
zod                                 3.25.74  3.25.76    4.0.10  node_modules/zod                                 workspace
zod-validation-error                  3.5.2    3.5.3     4.0.1  node_modules/zod-validation-error                workspace
